description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
"A leading global research university, MIT attracts some of the most brilliant young minds to its Cambridge, MA, campus every year. MIT is committed to educating students in science, technology, and other areas to best serve the modern world. Last year, researchers at MIT filed 439 patents and 25 companies formed using the school’s intellectual property. Students looking for an escape from frigid New England winters can turn to MIT’s underground labyrinth of mural-lined tunnels that run beneath much of campus. Despite the school’s STEM focus, all students must complete a wide-ranging core curriculum which includes laboratory requirements and a 100-yard swim test. Many of the world’s top minds went to MIT, including Nobel Prize-winning physicist Richard Feynman, renowned architect I.M. Pei (who designed four buildings on MIT’s campus) and Italian Prime Minister Mario Draghi.",1,Massachusetts Institute of Technology,MA,12195,Urban,173700.0,-71.093539,42.359006,http://web.mit.edu,617-253-1000,Cambridge,United States,Massachusetts,Northeast,1861.0,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,12195,4582,35299332.0,75.0,60.0
"Stanford University sits just outside of Palo Alto, CA. This world class private research university is renowned for its STEM programs, which have produced numerous Nobel Prize, Turing Award and Fields Medal recipients. The institution’s engineering school has housed some of the most accomplished innovations of Silicon Valley. Stanford fields 36 varsity teams and 33 club sports, active Greek life and community service through the university-wide Cardinal Service program. Committed to making their education affordable, families with annual incomes below $75,000 are not expected to pay tuition, room or board at Stanford. Alumni include billionaire venture capitalist Peter Thiel, Instagram cofounder Kevin Systrom, Senator Cory Booker and Sandra Day O’Connor, the first female Supreme Court Justice.",2,Stanford University,CA,20961,Suburban,173500.0,-122.168924,37.43137,http://www.stanford.edu,650-723-2091,Stanford,United States,California,West,1891.0,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,20961,8464,51328461.0,70.0,55.0
"One of the top public universities in the country, UC Berkeley has a rich tradition of leading technological and social change. Berkeley’s faculty has had a hand in the discovery of Vitamins E and K, the development of the atomic bomb and the creation of the flu vaccine. Since the Free Speech Movement of the 1960s, Berkeley’s students have maintained a strong tradition of involvement in social justice movements, an attitude that pervades the Berkeley spirit to this day: The school is the top producer of Peace Corps members, and 5,300 students participate in off-campus public service programs. They offer a housing program that allows students to be a part of a smaller community with similar interests and identities while living on campus. The university has over 150 departments and eight interdisciplinary research units across five colleges and one school. Berkeley's faculty boasts 4 Pulitzer Prize winners.",2,"University of California, Berkeley",CA,45878,Urban,154500.0,-122.258393,37.869236,http://www.berkeley.edu,(510) 642-6000,Berkeley,United States,California,West,1868.0,CA,Public,Doctoral Universities: Very High Research Activity,19,45878,33208,64495611.0,63.0,53.0
"Princeton is a leading private research university in Princeton, NJ, and the fourth oldest college in the United States. Students are placed into one of six residential colleges and are guaranteed housing for all four years of school.  Students whose families have an annual income below $65,000 are eligible for a grant to cover full tuition, residential college fee, room and board. Princeton meets 100% of demonstrated financial need for domestic and international students. Students at Princeton can choose from over 30 majors and 50 certificates. Popular programs are in the social sciences, STEM and public policy. Princeton shows commitment to service through learning, professions and community connections. Every senior writes a thesis or conducts an independent research project. Princeton alumni are high-achieving: The university has produced 21 Rhodes Scholars over the last decade and 18 total alumni recipients of the Nobel Prize.",4,Princeton University,NJ,8532,Urban,167600.0,-74.659119,40.349855,http://www.princeton.edu,609-258-3000,Princeton,United States,New Jersey,Northeast,1746.0,NJ,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,8532,5516,44871096.0,62.0,61.0
"Located in upper Manhattan, Columbia University in the City of New York is a private, Ivy league university. The school utilizes its location to provide students with a wealth of resources and learning opportunities. Columbia houses three undergraduate programs: the flagship Columbia College, the college of engineering, and the School of General Studies which admits nontraditional students. Students looking for a broad liberal arts education benefit from Columbia’s core curriculum, which has requirements in literature, writing, art and science. The learning experience remains close with a 7-to-1 student to faculty ratio. Columbia dedicates nearly $1 billion annually into research. There are over 350 student organizations on campus, as well as Greek life. Housing is guaranteed for all four years, and most students take advantage of it. More Nobel Laureates have graduated from or taught at Columbia than any other university in the Ivy League. Columbia alumni include five founding fathers, 34 presidents and prime ministers, and nine Supreme Court justices.",5,Columbia University,NY,33882,Urban,148800.0,-73.961288,40.806515,http://www.columbia.edu,212-854-1754,New York,United States,New York,Northeast,1754.0,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,33882,8689,44615007.0,58.0,54.0
"The University of California, Los Angeles is the most applied-to university in the country, with the goal of welcoming applicants from all backgrounds. The public research university offers more than 125 undergraduate majors. Students learn from award-winning faculty members and two on-campus centers help match faculty and undergraduate students for research opportunities. Ranked one of the top Forbes Best Value colleges in 2019, the university also offers a number of merit scholarships. UCLA’s Bruins have won over 100 NCAA Division I national titles. Notable UCLA alumni include MLB trailblazer Jackie Robinson, director Francis Ford Coppola, diplomat Ralph Bunche, and Senator Kirsten Gillibrand.",6,"University of California, Los Angeles",CA,46947,Urban,137200.0,-118.437855,34.073903,http://ucla.edu,310-825-4321,Los Angeles,United States,California,West,1919.0,CA,Public,Doctoral Universities: Very High Research Activity,18,46947,33641,61100980.0,73.0,67.0
"Located in rural Williamstown, MA, Williams College is among the oldest and most prestigious liberal arts schools in the country. Williams does not have any mandatory courses, but it does have rigorous requirements for students in the arts and humanities, social sciences, science and mathematics. The school emphasizes developing research, analytical, and communication skills. Don’t be fooled by the liberal arts label—Williams students love math and the sciences. The most popular majors include economics, biology and mathematics. In 2022, Williams became the first college in the nation to implement an “all-grant” financial aid policy, eliminating the need for loans and student employment in financial aid packages. Roughly a third of Williams students play a varsity sport, and the Williams Ephs compete in the Division III’s New England Small College Athletic Conference (NESCAC). Notable alumni include President James Garfield, investing billionaire Herbert Allen, Jr. and director John Frankenheimer.",7,Williams College,MA,2307,Rural,152600.0,-73.208078,42.712389,http://www.williams.edu,413-597-3131,Williamstown,United States,Massachusetts,Northeast,1793.0,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,6,2307,2251,15204855.0,62.0,52.0
"Yale University is the second oldest Ivy League institution, founded in New Haven, CT. The school is known for its highly-regarded programs in history, economics, psychology and English. Students are assigned to one of fourteen residential colleges on the school’s campus. Students are associated with their respective colleges throughout their time as undergraduates. Yale encourages their students to venture into unknown academic fields. They provide undergraduates over 1,200 research opportunities in science and technology fields spanning 45 degree programs. Yale's financial aid policy aims to prevent students from needing to take out loans. The school meets all students' demonstrated financial need, regardless of immigration status or citizenship. The founders of Morgan Stanley, Pinterest, FedEx, Boeing and the Blackstone Group all attended Yale for undergraduate studies, as well as three U.S. presidents.",8,Yale University,CT,14910,Urban,163700.0,-72.923425,41.314042,http://www.yale.edu,203-432-4771,New Haven,United States,Connecticut,Northeast,1701.0,CT,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,14910,7199,48430359.0,61.0,53.0
"Duke offers 53 undergraduate majors at its Durham, NC, campus, including top programs in computer science, economics and public policy. Its student newspaper, The Chronicle, has been publishing since 1905. Also an athletics powerhouse, Duke’s Blue Devils compete in 27 sports at the Division I level. So many students camp out for men's basketball games that their encampment is known as “K-ville.” Billionaires Melinda French Gates and David Rubenstein both graduated from Duke, as well as former WNBA president Lisa Borders and NBA star Kyrie Irving. With a cost of attendance totaling $81,488, Duke pledges to meet 100% of students' demonstrated financial need and 64% of students graduate debt-free. Duke spent over $1.2 billion dollars on research in 2019 and is the ninth largest recipient for federal research funding, much of which goes to life sciences and clinical trials research.",9,Duke University,NC,17855,Urban,155000.0,-78.940277,36.001389,http://www.duke.edu,919-684-8111,Durham,United States,North Carolina,South,1924.0,NC,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,17855,7278,41087604.0,63.0,47.0
"Founded by Benjamin Franklin, The University of Pennsylvania covers almost 300 acres in west Philadelphia with close proximity to downtown and several neighboring colleges. UPenn offers four undergraduate colleges: the College of Arts & Sciences, the School of Engineering and Applied Sciences, the School of Nursing and the Wharton School, the first collegiate business school. The university has churned out numerous notable alumni, including singer-songwriter John Legend, journalist Andrea Mitchell and entrepreneurs Elon Musk, Tory Burch and former President Donald Trump. UPenn is need-blind for student applicants from the United States, Mexico and Canada. The university is dedicated to meeting 100% of demonstrated financial need with grants and work-study funding. This Ivy League school offers hundreds of social organizations spanning professional clubs, cultural groups and the university’s independent student newspaper, The Daily Pennsylvanian.",10,University of Pennsylvania,PA,30688,Urban,164000.0,-75.162369,39.95227,http://www.upenn.edu,(215) 898-5000,Philadelphia,United States,Pennsylvania,Northeast,1740.0,PA,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,30688,14202,59744979.0,57.0,47.0
